well,elapsed,buildup,buildup(m)
PW-1,"3,198.00",0.33109144,0.100911746
PW-1,"3,218.00",0.33683291,0.102661661
PW-1,"3,238.00",0.33683291,0.102661661
PW-1,"3,258.00",0.34257438,0.104411576
PW-1,"3,278.00",0.35022967,0.106744794
PW-1,"3,298.00",0.35022967,0.106744794
PW-1,"3,318.00",0.36171261,0.110244624
PW-1,"3,338.00",0.35597114,0.108494709
PW-1,"3,358.00",0.36171261,0.110244624
PW-1,"3,378.00",0.36745408,0.111994538
PW-1,"3,398.00",0.36745408,0.111994538
PW-1,"3,418.00",0.37319555,0.113744453
PW-1,"3,438.00",0.38085084,0.116077671
PW-1,"3,458.00",0.38085084,0.116077671
PW-1,"3,478.00",0.38085084,0.116077671
PW-1,"3,498.00",0.38659231,0.117827586
PW-1,"3,518.00",0.38659231,0.117827586
PW-1,"3,538.00",0.39233378,0.119577501
PW-1,"3,558.00",0.39233378,0.119577501
PW-1,"3,578.00",0.39807525,0.121327415
PW-1,"3,598.00",0.39807525,0.121327415
PW-1,"3,618.00",0.40573055,0.123660637
PW-1,"3,638.00",0.40573055,0.123660637
PW-1,"3,658.00",0.41147202,0.125410552
PW-1,"3,678.00",0.41147202,0.125410552
PW-1,"3,698.00",0.4172627,0.127175465
PW-1,"3,718.00",0.41775483,0.127325459
PW-1,"3,738.00",0.42398842,0.129225364
PW-1,"3,758.00",0.42448055,0.129375358
PW-1,"3,778.00",0.4192312,0.127775434
PW-1,"3,798.00",0.4254648,0.129675343
PW-1,"3,818.00",0.4316984,0.131575251
PW-1,"3,838.00",0.43219052,0.131725242
PW-1,"3,858.00",0.43268265,0.131875236
PW-1,"3,878.00",0.44083007,0.134358449
PW-1,"3,898.00",0.44132219,0.13450844
PW-1,"3,918.00",0.44755579,0.136408348
PW-1,"3,938.00",0.44230645,0.134808427
PW-1,"3,958.00",0.44279857,0.134958418
PW-1,"3,978.00",0.44903217,0.136858327
PW-1,"3,998.00",0.44946961,0.136991652
PW-1,"4,018.00",0.44941493,0.136974986
PW-1,"4,038.00",0.45510172,0.138708235
PW-1,"4,058.00",0.45504704,0.13869157
PW-1,"4,078.00",0.45499236,0.138674904
PW-1,"4,098.00",0.46833444,0.142741372
PW-1,"4,118.00",0.46062447,0.140391487
PW-1,"4,138.00",0.46056979,0.140374822
PW-1,"4,158.00",0.4681704,0.142691375
PW-1,"4,178.00",0.47385719,0.144424624
PW-1,"4,198.00",0.47380251,0.144407958
PW-1,"4,218.00",0.4794893,0.146141207
PW-1,"4,238.00",0.47943462,0.146124541
PW-1,"4,258.00",0.47937994,0.146107876
PW-1,"4,278.00",0.47932526,0.14609121
PW-1,"4,298.00",0.48506673,0.147841125
PW-1,"4,318.00",0.48555885,0.147991116
PW-1,"4,338.00",0.49179245,0.149891024
PW-1,"4,358.00",0.49228457,0.150041015
PW-1,"4,378.00",0.4927767,0.150191009
PW-1,"4,398.00",0.49326883,0.150341003
PW-1,"4,418.00",0.49376095,0.150490994
PW-1,"4,438.00",0.50190837,0.152974206
PW-1,"4,458.00",0.5024005,0.1531242
PW-1,"4,478.00",0.50289262,0.153274191
PW-1,"4,498.00",0.50338475,0.153424185
PW-1,"4,518.00",0.50961835,0.155324093
PW-1,"4,538.00",0.51011047,0.155474084
PW-1,"4,558.00",0.51634407,0.157373993
PW-1,"4,578.00",0.51683619,0.157523984
PW-1,"4,598.00",0.51732832,0.157673977
PW-1,"4,618.00",0.51782045,0.157823971
PW-1,"4,638.00",0.52405404,0.159723877
PW-1,"4,658.00",0.52454617,0.159873871
PW-1,"4,678.00",0.53269359,0.162357083
PW-1,"4,698.00",0.52553042,0.160173856
PW-1,"4,718.00",0.53367784,0.162657068
PW-1,"4,738.00",0.53416997,0.162807062
PW-1,"4,758.00",0.54040356,0.164706967
PW-1,"4,778.00",0.54089569,0.164856961
PW-1,"4,798.00",0.54712928,0.166756867
PW-1,"4,818.00",0.54762141,0.166906861
PW-1,"4,838.00",0.54811354,0.167056855
PW-1,"4,858.00",0.54860566,0.167206845
PW-1,"4,878.00",0.55483926,0.169106754
PW-1,"4,898.00",0.55532592,0.169255081
PW-1,"4,918.00",0.55576336,0.169388406
PW-1,"4,938.00",0.56194228,0.171271649
PW-1,"4,958.00",0.56237972,0.171404974
PW-1,"4,978.00",0.57047246,0.173871521
PW-1,"4,998.00",0.57090991,0.174004849
PW-1,"5,018.00",0.57708882,0.175888089
PW-1,"5,038.00",0.57752627,0.176021417
PW-1,"5,058.00",0.57796371,0.176154742
PW-1,"5,078.00",0.58414263,0.178037985
PW-1,"5,098.00",0.5788386,0.176421396
PW-1,"5,118.00",0.58501752,0.178304639
PW-1,"5,138.00",0.59119643,0.180187879
PW-1,"5,158.00",0.58589241,0.178571292
PW-1,"5,178.00",0.58632985,0.178704617
PW-1,"5,198.00",0.60007111,0.182892749
PW-1,"5,218.00",0.59192369,0.180409537
PW-1,"5,238.00",0.59143156,0.180259543
PW-1,"5,258.00",0.59859473,0.18244277
PW-1,"5,278.00",0.59044731,0.179959558
PW-1,"5,298.00",0.59761048,0.182142786
PW-1,"5,318.00",0.60860129,0.185492621
PW-1,"5,338.00",0.59662622,0.181842798
PW-1,"5,358.00",0.60187557,0.183442722
PW-1,"5,378.00",0.60138344,0.183292728
PW-1,"5,398.00",0.60089132,0.183142737
PW-1,"5,418.00",0.60614066,0.184742658
PW-2,0,0,0
PW-2,20,-0.00049212,-0.000149991
PW-2,40,-0.00098425,-0.000299985
PW-2,60,-0.00147637,-0.000449976
PW-2,80,-0.0019685,-0.00059997
PW-2,100,-0.0023622,-0.000719963
PW-2,120,-0.0023622,-0.000719963
PW-2,140,-0.0023622,-0.000719963
PW-2,160,-0.0023622,-0.000719963
PW-2,180,-0.0023622,-0.000719963
PW-2,200,-0.0023622,-0.000719963
PW-2,220,-0.0023622,-0.000719963
PW-2,240,-0.00427602,-0.001303267
PW-2,260,-0.0023622,-0.000719963
PW-2,280,-0.0023622,-0.000719963
PW-2,300,-0.0023622,-0.000719963
PW-2,320,-0.0023622,-0.000719963
PW-2,340,-0.0023622,-0.000719963
PW-2,360,-0.0023622,-0.000719963
PW-2,380,-0.0023622,-0.000719963
PW-2,400,-0.00800525,-0.002439881
PW-2,420,-0.00177165,-0.000539973
PW-2,440,-0.00127952,-0.000389979
PW-2,460,-0.0007874,-0.000239988
PW-2,480,-0.00029527,-9.00E-05
PW-2,500,0.00019685,6.00E-05
PW-2,520,-0.00505249,-0.001539924
PW-2,540,0.00118111,0.000359985
